,Dataset,Selective,Max Depth,Estimators,Training Accuracy,Testing Accuracy
499,Month_24,True,4,50,1.0,0.7771084337349398
500,Month_24,True,4,75,1.0,0.8253012048192772
501,Month_24,True,4,100,1.0,0.8012048192771084
502,Month_24,True,4,150,1.0,0.8192771084337349
503,Month_24,True,4,200,1.0,0.8192771084337349
504,Month_24,True,5,25,1.0,0.8313253012048193
505,Month_24,True,5,50,1.0,0.8313253012048193
506,Month_24,True,5,75,1.0,0.8433734939759037
507,Month_24,True,5,100,1.0,0.8373493975903614
508,Month_24,True,5,150,1.0,0.8433734939759037
509,Month_24,True,5,200,1.0,0.8493975903614458
510,Month_24,True,6,25,1.0,0.8433734939759037
511,Month_24,True,6,50,1.0,0.8433734939759037
512,Month_24,True,6,75,1.0,0.8554216867469879
513,Month_24,True,6,100,1.0,0.8554216867469879
514,Month_24,True,6,150,1.0,0.8313253012048193
515,Month_24,True,6,200,1.0,0.8614457831325302
516,Month_24,True,7,25,1.0,0.8433734939759037
517,Month_24,True,7,50,1.0,0.8614457831325302
518,Month_24,True,7,75,1.0,0.8614457831325302
